DATE,TIME,XR,YR,HEIGHT,TSS1,TSS2,TSS3,ALT,DEP,HEAD,LINE,DISCARD1,DISCARD2
22-05-2023,14:04:06.652,304300.5,6030991.88,NA,-3,0,2,0.76,40.09,175.33,216,NA,NA
22-05-2023,14:04:06.332,304300.49,6030992,NA,0,-5,-3,0.76,40.09,175.46,216,NA,NA
22-05-2023,14:04:06.116,304300.49,6030992.08,NA,-6,0,-4,0.75,40.09,175.57,216,NA,NA
22-05-2023,14:04:05.905,304300.49,6030992.16,NA,-6,0,-4,0.76,40.07,175.6,216,NA,NA
22-05-2023,14:04:05.583,304300.48,6030992.29,NA,5,0,-5,0.76,40.05,175.61,216,NA,NA
22-05-2023,14:04:05.369,304300.47,6030992.38,NA,5,-10,-6,0.76,40.05,175.61,216,NA,NA
22-05-2023,14:04:05.154,304300.46,6030992.47,NA,2,-3,-2,0.77,40.03,175.62,216,NA,NA
22-05-2023,14:04:04.835,304300.45,6030992.6,NA,2,8,-6,0.78,40.01,175.66,216,NA,NA
22-05-2023,14:04:04.622,304300.45,6030992.69,NA,8,6,-8,0.79,40.01,175.7,216,NA,NA
22-05-2023,14:04:04.408,304300.44,6030992.78,NA,-2,2,-6,0.79,40.01,175.73,216,NA,NA
22-05-2023,14:04:04.089,304300.44,6030992.91,NA,-6,1,-10,0.8,39.99,175.82,216,NA,NA
22-05-2023,14:04:03.876,304300.43,6030992.99,NA,-5,1,-12,0.81,40,175.9,216,NA,NA
22-05-2023,14:04:03.554,304300.43,6030993.13,NA,-5,2,-4,0.82,39.99,176.02,216,NA,NA
22-05-2023,14:04:03.340,304300.43,6030993.21,NA,-5,2,-4,0.82,39.99,176.11,216,NA,NA
22-05-2023,14:04:03.127,304300.43,6030993.29,NA,0,2,0,0.82,40,176.22,216,NA,NA
22-05-2023,14:04:02.807,304300.44,6030993.42,NA,0,-2,-3,0.82,40.01,176.32,216,NA,NA
22-05-2023,14:04:02.592,304300.44,6030993.51,NA,3,4,-5,0.81,40.02,176.41,216,NA,NA
22-05-2023,14:04:02.379,304300.44,6030993.59,NA,2,7,-5,0.81,40.01,176.5,216,NA,NA
22-05-2023,14:04:02.058,304300.44,6030993.73,NA,3,-4,-6,0.81,40.02,176.63,216,NA,NA
22-05-2023,14:04:01.845,304300.45,6030993.81,NA,3,-11,-3,0.81,40.04,176.7,216,NA,NA
22-05-2023,14:04:01.632,304300.44,6030993.9,NA,1,0,-3,0.8,40.07,176.81,216,NA,NA
22-05-2023,14:04:01.310,304300.44,6030994.03,NA,-1,3,-3,0.81,40.07,176.89,216,NA,NA
22-05-2023,14:04:01.097,304300.44,6030994.11,NA,-1,5,-4,0.82,40.07,176.9,216,NA,NA
22-05-2023,14:04:00.885,304300.43,6030994.2,NA,-1,5,-4,0.81,40.09,176.89,216,NA,NA
22-05-2023,14:04:00.565,304300.42,6030994.33,NA,-1,5,-2,0.81,40.1,176.88,216,NA,NA
22-05-2023,14:04:00.352,304300.41,6030994.41,NA,-1,2,-2,0.8,40.11,176.86,216,NA,NA
22-05-2023,14:04:00.137,304300.4,6030994.5,NA,-6,-1,-1,0.81,40.11,176.82,216,NA,NA
22-05-2023,14:03:59.816,304300.38,6030994.64,NA,-1,-1,-4,0.81,40.14,176.76,216,NA,NA
22-05-2023,14:03:59.601,304300.37,6030994.73,NA,-11,3,-5,0.8,40.16,176.72,216,NA,NA
22-05-2023,14:03:59.388,304300.35,6030994.82,NA,-3,-3,-1,0.8,40.14,176.67,216,NA,NA
22-05-2023,14:03:59.067,304300.33,6030994.96,NA,-1,-6,-2,0.79,40.14,176.56,216,NA,NA
22-05-2023,14:03:58.853,304300.31,6030995.05,NA,-1,0,-1,0.78,40.17,176.45,216,NA,NA
22-05-2023,14:03:58.639,304300.29,6030995.14,NA,1,6,-3,0.78,40.17,176.3,216,NA,NA
22-05-2023,14:03:58.320,304300.26,6030995.28,NA,-8,-2,-2,0.77,40.19,176.17,216,NA,NA
22-05-2023,14:03:58.106,304300.24,6030995.37,NA,0,5,-6,0.76,40.2,176.09,216,NA,NA
22-05-2023,14:03:57.895,304300.22,6030995.46,NA,0,5,-6,0.76,40.21,176.02,216,NA,NA
22-05-2023,14:03:57.574,304300.2,6030995.6,NA,4,4,-4,0.75,40.2,175.93,216,NA,NA
22-05-2023,14:03:57.360,304300.18,6030995.7,NA,0,5,-2,0.75,40.19,175.87,216,NA,NA
22-05-2023,14:03:57.146,304300.17,6030995.79,NA,3,-8,0,0.74,40.18,175.85,216,NA,NA
22-05-2023,14:03:56.826,304300.15,6030995.93,NA,-1,1,0,0.74,40.19,175.88,216,NA,NA
22-05-2023,14:03:56.612,304300.14,6030996.02,NA,2,-2,-3,0.74,40.2,175.9,216,NA,NA
22-05-2023,14:03:56.398,304300.13,6030996.12,NA,-1,-8,-3,0.74,40.18,175.91,216,NA,NA
22-05-2023,14:03:56.078,304300.1,6030996.26,NA,5,-16,-3,0.74,40.17,175.92,216,NA,NA
22-05-2023,14:03:55.863,304300.09,6030996.35,NA,0,1,-4,0.74,40.17,175.95,216,NA,NA
22-05-2023,14:03:55.650,304300.08,6030996.45,NA,0,0,-2,0.74,40.17,175.96,216,NA,NA
22-05-2023,14:03:55.332,304300.06,6030996.58,NA,0,0,-2,0.74,40.17,175.95,216,NA,NA
22-05-2023,14:03:55.118,304300.05,6030996.67,NA,-2,-1,-2,0.73,40.16,175.91,216,NA,NA
22-05-2023,14:03:54.905,304300.04,6030996.76,NA,-7,0,-4,0.73,40.15,175.88,216,NA,NA
22-05-2023,14:03:54.586,304300.03,6030996.9,NA,-6,-3,-4,0.73,40.15,175.85,216,NA,NA
22-05-2023,14:03:54.373,304300.02,6030996.98,NA,-10,3,-4,0.72,40.15,175.84,216,NA,NA
22-05-2023,14:03:54.052,304300.01,6030997.12,NA,0,-9,-3,0.72,40.16,175.87,216,NA,NA
22-05-2023,14:03:53.839,304300,6030997.21,NA,0,5,-1,0.73,40.15,175.86,216,NA,NA
22-05-2023,14:03:53.627,304299.99,6030997.3,NA,-3,4,-3,0.73,40.14,175.85,216,NA,NA
22-05-2023,14:03:53.307,304299.99,6030997.43,NA,-3,4,-3,0.73,40.15,175.88,216,NA,NA
22-05-2023,14:03:53.093,304299.98,6030997.52,NA,-3,0,-1,0.73,40.14,175.94,216,NA,NA
22-05-2023,14:03:52.882,304299.98,6030997.62,NA,-2,5,0,0.73,40.15,175.99,216,NA,NA
22-05-2023,14:03:52.560,304299.98,6030997.76,NA,-2,0,-3,0.74,40.14,176.02,216,NA,NA
22-05-2023,14:03:52.346,304299.97,6030997.85,NA,-2,3,-3,0.74,40.16,176.03,216,NA,NA
22-05-2023,14:03:52.133,304299.97,6030997.94,NA,0,14,-4,0.74,40.15,176.06,216,NA,NA
22-05-2023,14:03:51.812,304299.96,6030998.07,NA,-2,-1,-5,0.74,40.13,176.1,216,NA,NA
22-05-2023,14:03:51.600,304299.95,6030998.16,NA,-1,1,-1,0.75,40.13,176.12,216,NA,NA
22-05-2023,14:03:51.385,304299.95,6030998.25,NA,-1,-3,-2,0.75,40.16,176.13,216,NA,NA
22-05-2023,14:03:51.063,304299.94,6030998.39,NA,1,1,1,0.75,40.15,176.15,216,NA,NA
22-05-2023,14:03:50.850,304299.93,6030998.49,NA,0,-1,-4,0.75,40.13,176.16,216,NA,NA
22-05-2023,14:03:50.635,304299.92,6030998.58,NA,-1,1,0,0.74,40.14,176.17,216,NA,NA
22-05-2023,14:03:50.314,304299.91,6030998.72,NA,-1,1,0,0.75,40.14,176.18,216,NA,NA
22-05-2023,14:03:50.100,304299.91,6030998.81,NA,0,0,2,0.75,40.14,176.17,216,NA,NA
22-05-2023,14:03:49.885,304299.9,6030998.91,NA,-7,-1,-9,0.75,40.14,176.14,216,NA,NA
22-05-2023,14:03:49.562,304299.89,6030999.05,NA,0,0,-6,0.76,40.13,176.13,216,NA,NA
22-05-2023,14:03:49.348,304299.88,6030999.14,NA,0,-1,-5,0.76,40.14,176.12,216,NA,NA
22-05-2023,14:03:49.133,304299.87,6030999.23,NA,0,3,-5,0.76,40.12,176.12,216,NA,NA
22-05-2023,14:03:48.814,304299.86,6030999.37,NA,-2,0,-5,0.76,40.14,176.16,216,NA,NA
22-05-2023,14:03:48.600,304299.85,6030999.47,NA,5,-1,-6,0.76,40.14,176.19,216,NA,NA
22-05-2023,14:03:48.386,304299.85,6030999.56,NA,4,-1,-7,0.77,40.13,176.23,216,NA,NA
22-05-2023,14:03:48.064,304299.84,6030999.7,NA,-2,1,-14,0.77,40.13,176.27,216,NA,NA
22-05-2023,14:03:47.852,304299.83,6030999.79,NA,0,3,-8,0.78,40.13,176.29,216,NA,NA
22-05-2023,14:03:47.637,304299.82,6030999.88,NA,4,3,7,0.78,40.13,176.33,216,NA,NA
22-05-2023,14:03:47.317,304299.81,6031000.02,NA,4,3,7,0.78,40.14,176.36,216,NA,NA
22-05-2023,14:03:47.104,304299.81,6031000.11,NA,3,-1,18,0.78,40.12,176.38,216,NA,NA
22-05-2023,14:03:46.891,304299.8,6031000.2,NA,5,3,6,0.78,40.13,176.38,216,NA,NA
22-05-2023,14:03:46.572,304299.79,6031000.34,NA,4,-1,-5,0.79,40.12,176.41,216,NA,NA
22-05-2023,14:03:46.360,304299.78,6031000.43,NA,4,0,-2,0.79,40.13,176.47,216,NA,NA
22-05-2023,14:03:46.146,304299.77,6031000.52,NA,2,4,-4,0.79,40.12,176.53,216,NA,NA
22-05-2023,14:03:45.828,304299.76,6031000.65,NA,5,3,-4,0.8,40.13,176.63,216,NA,NA
22-05-2023,14:03:45.614,304299.75,6031000.74,NA,5,0,-3,0.81,40.12,176.65,216,NA,NA
22-05-2023,14:03:45.398,304299.74,6031000.83,NA,0,1,1,0.82,40.12,176.64,216,NA,NA
22-05-2023,14:03:45.078,304299.72,6031000.96,NA,-1,1,-3,0.82,40.12,176.57,216,NA,NA
22-05-2023,14:03:44.866,304299.71,6031001.05,NA,-1,1,-3,0.82,40.12,176.51,216,NA,NA
