XR,YR,TSS
304295.1631024919,6030991.412882955,-2
304295.15311072336,6030991.502790995,0
304295.1331438098,6030991.632423168,-3
304295.1231687933,6030991.722147313,-1
304295.1131939211,6030991.811871473,-1
304295.0832361217,6030991.951411765,-1
304295.0732531143,6030992.041227893,0
304295.0532958766,6030992.140768239,0
304295.03335641755,6030992.270124786,0
304295.01337385934,6030992.3599409545,1
304295.0034001425,6030992.44966522,-2
304294.9834177447,6030992.589481405,-1
304294.9634265698,6030992.6693895,-3
304294.943435411,6030992.799297596,5
304294.9334354111,6030992.889297597,9
304294.92344426835,6030992.969205694,5
304294.9034620309,6030993.099021896,5
304294.89347093634,6030993.178929999,2
304294.88347093633,6030993.268929998,2
304294.86348879524,6030993.3887462085,-2
304294.8434977487,6030993.478654315,1
304294.8335247054,6030993.558378646,0
304294.8135518065,6030993.688102991,-1
304294.8035518065,6030993.768102991,-1
304294.7935518065,6030993.8481029915,-1
304294.773569954,6030993.967919229,-1
304294.7635881657,6030994.047735473,-3
304294.7536156035,6030994.127459852,-2
304294.7336524117,6030994.247092379,-2
304294.7336801862,6030994.326816792,-2
304294.72369878273,6030994.396633075,-2
304294.713754957,6030994.516081963,-1
304294.70377381,6030994.5958982725,-1
304294.70380220975,6030994.6656227475,0
304294.69383075373,6030994.785347239,-2
304294.6838403005,6030994.865255406,-2
304294.683859442,6030994.945071745,0
304294.67390757625,6030995.064612621,1
304294.67392694217,6030995.144428984,-3
304294.66393664916,6030995.224337168,-2
304294.66393664916,6030995.344337168,-2
304294.66393664916,6030995.434337168,0
304294.66392694216,6030995.514428984,1
304294.65388827445,6030995.644796266,0
304294.6538498632,6030995.725163575,-1
304294.65380220977,6030995.815622748,-4
304294.643670912,6030995.946908653,-5
304294.6435881657,6030996.037735473,0
304294.6434887952,6030996.1387462085,1
304294.65333037515,6030996.280400542,7
304294.65324461,6030996.381319828,7
304294.65316879324,6030996.472147313,-3
304294.6430615751,6030996.623342778,0
304294.64304532076,6030996.713526716,6
304294.63303721766,6030996.803618688,1
304294.61305343994,6030996.953434747,-2
304294.6030942764,6030997.042974917,2
304294.5831438098,6030997.142423169,-1
304294.5632191933,6030997.281595644,-1
304294.55325311434,6030997.371227893,-2
304294.5332701711,6030997.471044026,-1
304294.5133044771,6030997.610676312,5
304294.5033130938,6030997.700584387,5
304294.49332172645,6030997.790492464,-2
304294.47333903995,6030997.920308621,-5
304294.45334772073,6030998.010216702,-1
304294.44336513046,6030998.090032869,-3
304294.4233738594,6030998.219940954,0
304294.41338260437,6030998.309849042,-2
304294.40338260436,6030998.3898490425,-2
304294.39337385935,6030998.519940955,-7
304294.38336513046,6030998.60003287,-12
304294.3833390399,6030998.680308621,-12
304294.37330447714,6030998.810676312,2
304294.363287292,6030998.890860166,2
304294.3532701711,6030998.971044026,1
304294.34326163464,6030999.091135959,1
304294.3432531143,6030999.171227893,-1
304294.3332361217,6030999.251411765,2
304294.32319392107,6030999.371871472,0
304294.3231687932,6030999.452147313,1
304294.3131521216,6030999.532331215,-1
304294.30313551414,6030999.652515123,0
304294.29311897093,6030999.732699037,-2
304294.2931107234,6030999.862790995,-2
304294.28310249187,6030999.942882955,-1
304294.2730942764,6031000.022974918,-2
304294.26309427636,6031000.152974918,-1
304294.2531107234,6031000.232790995,-2
304294.24316879327,6031000.3221473135,0
304294.2232531143,6031000.441227893,-2
304294.21331309376,6031000.5305843875,-2
304294.19339136535,6031000.609757131,0
304294.17349774874,6031000.738654315,0
304294.15355180646,6031000.818102991,0
304294.14359729557,6031000.9076435985,3
304294.12360644154,6031001.037551724,-1
304294.1135881657,6031001.127735473,-12
304294.1035608722,6031001.218011109,-1
304294.0935067182,6031001.348562424,-1
304294.0834620309,6031001.439021896,-1
304294.08337385935,6031001.529940954,0
304294.073287292,6031001.670860166,-6
304294.0632361217,6031001.761411765,-1
304294.0532107532,6031001.861687585,6
304294.0432023291,6031002.001779527,8
304294.03320232907,6031002.091779527,8
304294.02321075316,6031002.181687585,4
304294.0032191933,6031002.321595644,4
304293.99324461,6031002.411319829,-11
304293.98327872355,6031002.490952096,-3
304293.9633217264,6031002.620492464,-6
304293.95334772073,6031002.710216702,2
304293.94338260434,6031002.789849042,7
304293.92340893555,6031002.919573313,-4
304293.92340014246,6031002.99966522,-4
304293.9133913654,6031003.0897571305,-4
304293.9033651305,6031003.210032869,-5
304293.89333903993,6031003.300308621,-4
304293.8933044771,6031003.380676311,-5
304293.8832616346,6031003.511135959,0
304293.88324461,6031003.601319829,-1
304293.8732361217,6031003.691411765,-1
304293.8632276495,6031003.821503704,-1
304293.8632361217,6031003.911411765,5
304293.8532361217,6031003.991411765,-3
304293.8432191933,6031004.121595643,-3
